name,in_sdl,funclike,header,usable,selected,stage,cause,also_contains,depends_on,unexpected,body,root_cause
SDL_CONTROLLER_AXIS_RIGHTX,yes,no,SDL_oldnames.h,no,no,resolve,sdl2-compat-sentinel,,SDL_CONTROLLER_AXIS_RIGHTX_renamed_SDL_GAMEPAD_AXIS_RIGHTX,,SDL_CONTROLLER_AXIS_RIGHTX_renamed_SDL_GAMEPAD_AXIS_RIGHTX,sdl2-compat-sentinel
SDL_CONTROLLER_AXIS_RIGHTY,yes,no,SDL_oldnames.h,no,no,resolve,sdl2-compat-sentinel,,SDL_CONTROLLER_AXIS_RIGHTY_renamed_SDL_GAMEPAD_AXIS_RIGHTY,,SDL_CONTROLLER_AXIS_RIGHTY_renamed_SDL_GAMEPAD_AXIS_RIGHTY,sdl2-compat-sentinel
SDL_CONTROLLER_AXIS_TRIGGERLEFT,yes,no,SDL_oldnames.h,no,no,resolve,sdl2-compat-sentinel,,SDL_CONTROLLER_AXIS_TRIGGERLEFT_renamed_SDL_GAMEPAD_AXIS_LEFT_TRIGGER,,SDL_CONTROLLER_AXIS_TRIGGERLEFT_renamed_SDL_GAMEPAD_AXIS_LEFT_TRIGGER,sdl2-compat-sentinel
SDL_CONTROLLER_AXIS_TRIGGERRIGHT,yes,no,SDL_oldnames.h,no,no,resolve,sdl2-compat-sentinel,,SDL_CONTROLLER_AXIS_TRIGGERRIGHT_renamed_SDL_GAMEPAD_AXIS_RIGHT_TRIGGER,,SDL_CONTROLLER_AXIS_TRIGGERRIGHT_renamed_SDL_GAMEPAD_AXIS_RIGHT_TRIGGER,sdl2-compat-sentinel
SDL_CONTROLLER_BINDTYPE_AXIS,yes,no,SDL_oldnames.h,no,no,resolve,sdl2-compat-sentinel,,SDL_CONTROLLER_BINDTYPE_AXIS_renamed_SDL_GAMEPAD_BINDTYPE_AXIS,,SDL_CONTROLLER_BINDTYPE_AXIS_renamed_SDL_GAMEPAD_BINDTYPE_AXIS,sdl2-compat-sentinel
SDL_CONTROLLER_BINDTYPE_BUTTON,yes,no,SDL_oldnames.h,no,no,resolve,sdl2-compat-sentinel,,SDL_CONTROLLER_BINDTYPE_BUTTON_renamed_SDL_GAMEPAD_BINDTYPE_BUTTON,,SDL_CONTROLLER_BINDTYPE_BUTTON_renamed_SDL_GAMEPAD_BINDTYPE_BUTTON,sdl2-compat-sentinel
SDL_CONTROLLER_BINDTYPE_HAT,yes,no,SDL_oldnames.h,no,no,resolve,sdl2-compat-sentinel,,SDL_CONTROLLER_BINDTYPE_HAT_renamed_SDL_GAMEPAD_BINDTYPE_HAT,,SDL_CONTROLLER_BINDTYPE_HAT_renamed_SDL_GAMEPAD_BINDTYPE_HAT,sdl2-compat-sentinel
SDL_CONTROLLER_BINDTYPE_NONE,yes,no,SDL_oldnames.h,no,no,resolve,sdl2-compat-sentinel,,SDL_CONTROLLER_BINDTYPE_NONE_renamed_SDL_GAMEPAD_BINDTYPE_NONE,,SDL_CONTROLLER_BINDTYPE_NONE_renamed_SDL_GAMEPAD_BINDTYPE_NONE,sdl2-compat-sentinel
SDL_CONTROLLER_BUTTON_A,yes,no,SDL_oldnames.h,no,no,resolve,sdl2-compat-sentinel,,SDL_CONTROLLER_BUTTON_A_renamed_SDL_GAMEPAD_BUTTON_SOUTH,,SDL_CONTROLLER_BUTTON_A_renamed_SDL_GAMEPAD_BUTTON_SOUTH,sdl2-compat-sentinel
SDL_CONTROLLER_BUTTON_B,yes,no,SDL_oldnames.h,no,no,resolve,sdl2-compat-sentinel,,SDL_CONTROLLER_BUTTON_B_renamed_SDL_GAMEPAD_BUTTON_EAST,,SDL_CONTROLLER_BUTTON_B_renamed_SDL_GAMEPAD_BUTTON_EAST,sdl2-compat-sentinel
SDL_CONTROLLER_BUTTON_BACK,yes,no,SDL_oldnames.h,no,no,resolve,sdl2-compat-sentinel,,SDL_CONTROLLER_BUTTON_BACK_renamed_SDL_GAMEPAD_BUTTON_BACK,,SDL_CONTROLLER_BUTTON_BACK_renamed_SDL_GAMEPAD_BUTTON_BACK,sdl2-compat-sentinel
SDL_CONTROLLER_BUTTON_DPAD_DOWN,yes,no,SDL_oldnames.h,no,no,resolve,sdl2-compat-sentinel,,SDL_CONTROLLER_BUTTON_DPAD_DOWN_renamed_SDL_GAMEPAD_BUTTON_DPAD_DOWN,,SDL_CONTROLLER_BUTTON_DPAD_DOWN_renamed_SDL_GAMEPAD_BUTTON_DPAD_DOWN,sdl2-compat-sentinel
SDL_CONTROLLER_BUTTON_DPAD_LEFT,yes,no,SDL_oldnames.h,no,no,resolve,sdl2-compat-sentinel,,SDL_CONTROLLER_BUTTON_DPAD_LEFT_renamed_SDL_GAMEPAD_BUTTON_DPAD_LEFT,,SDL_CONTROLLER_BUTTON_DPAD_LEFT_renamed_SDL_GAMEPAD_BUTTON_DPAD_LEFT,sdl2-compat-sentinel
SDL_CONTROLLER_BUTTON_DPAD_RIGHT,yes,no,SDL_oldnames.h,no,no,resolve,sdl2-compat-sentinel,,SDL_CONTROLLER_BUTTON_DPAD_RIGHT_renamed_SDL_GAMEPAD_BUTTON_DPAD_RIGHT,,SDL_CONTROLLER_BUTTON_DPAD_RIGHT_renamed_SDL_GAMEPAD_BUTTON_DPAD_RIGHT,sdl2-compat-sentinel
SDL_CONTROLLER_BUTTON_DPAD_UP,yes,no,SDL_oldnames.h,no,no,resolve,sdl2-compat-sentinel,,SDL_CONTROLLER_BUTTON_DPAD_UP_renamed_SDL_GAMEPAD_BUTTON_DPAD_UP,,SDL_CONTROLLER_BUTTON_DPAD_UP_renamed_SDL_GAMEPAD_BUTTON_DPAD_UP,sdl2-compat-sentinel
SDL_CONTROLLER_BUTTON_GUIDE,yes,no,SDL_oldnames.h,no,no,resolve,sdl2-compat-sentinel,,SDL_CONTROLLER_BUTTON_GUIDE_renamed_SDL_GAMEPAD_BUTTON_GUIDE,,SDL_CONTROLLER_BUTTON_GUIDE_renamed_SDL_GAMEPAD_BUTTON_GUIDE,sdl2-compat-sentinel
SDL_CONTROLLER_BUTTON_INVALID,yes,no,SDL_oldnames.h,no,no,resolve,sdl2-compat-sentinel,,SDL_CONTROLLER_BUTTON_INVALID_renamed_SDL_GAMEPAD_BUTTON_INVALID,,SDL_CONTROLLER_BUTTON_INVALID_renamed_SDL_GAMEPAD_BUTTON_INVALID,sdl2-compat-sentinel
SDL_CONTROLLER_BUTTON_LEFTSHOULDER,yes,no,SDL_oldnames.h,no,no,resolve,sdl2-compat-sentinel,,SDL_CONTROLLER_BUTTON_LEFTSHOULDER_renamed_SDL_GAMEPAD_BUTTON_LEFT_SHOULDER,,SDL_CONTROLLER_BUTTON_LEFTSHOULDER_renamed_SDL_GAMEPAD_BUTTON_LEFT_SHOULDER,sdl2-compat-sentinel
SDL_CONTROLLER_BUTTON_LEFTSTICK,yes,no,SDL_oldnames.h,no,no,resolve,sdl2-compat-sentinel,,SDL_CONTROLLER_BUTTON_LEFTSTICK_renamed_SDL_GAMEPAD_BUTTON_LEFT_STICK,,SDL_CONTROLLER_BUTTON_LEFTSTICK_renamed_SDL_GAMEPAD_BUTTON_LEFT_STICK,sdl2-compat-sentinel
SDL_CONTROLLER_BUTTON_MAX,yes,no,SDL_oldnames.h,no,no,resolve,sdl2-compat-sentinel,,SDL_CONTROLLER_BUTTON_MAX_renamed_SDL_GAMEPAD_BUTTON_COUNT,,SDL_CONTROLLER_BUTTON_MAX_renamed_SDL_GAMEPAD_BUTTON_COUNT,sdl2-compat-sentinel
SDL_CONTROLLER_BUTTON_MISC1,yes,no,SDL_oldnames.h,no,no,resolve,sdl2-compat-sentinel,,SDL_CONTROLLER_BUTTON_MISC1_renamed_SDL_GAMEPAD_BUTTON_MISC1,,SDL_CONTROLLER_BUTTON_MISC1_renamed_SDL_GAMEPAD_BUTTON_MISC1,sdl2-compat-sentinel
SDL_CONTROLLER_BUTTON_PADDLE1,yes,no,SDL_oldnames.h,no,no,resolve,sdl2-compat-sentinel,,SDL_CONTROLLER_BUTTON_PADDLE1_renamed_SDL_GAMEPAD_BUTTON_RIGHT_PADDLE1,,SDL_CONTROLLER_BUTTON_PADDLE1_renamed_SDL_GAMEPAD_BUTTON_RIGHT_PADDLE1,sdl2-compat-sentinel
SDL_CONTROLLER_BUTTON_PADDLE2,yes,no,SDL_oldnames.h,no,no,resolve,sdl2-compat-sentinel,,SDL_CONTROLLER_BUTTON_PADDLE2_renamed_SDL_GAMEPAD_BUTTON_LEFT_PADDLE1,,SDL_CONTROLLER_BUTTON_PADDLE2_renamed_SDL_GAMEPAD_BUTTON_LEFT_PADDLE1,sdl2-compat-sentinel
SDL_CONTROLLER_BUTTON_PADDLE3,yes,no,SDL_oldnames.h,no,no,resolve,sdl2-compat-sentinel,,SDL_CONTROLLER_BUTTON_PADDLE3_renamed_SDL_GAMEPAD_BUTTON_RIGHT_PADDLE2,,SDL_CONTROLLER_BUTTON_PADDLE3_renamed_SDL_GAMEPAD_BUTTON_RIGHT_PADDLE2,sdl2-compat-sentinel
